start_gesture_time,end_gesture_time,gesture_detected,confidence_score,send_time,inference_time,fps,model_name
20:39:14.261,20:39:14.313,Stop,0.99983,20:39:14.313,0.05157,10.91,gesture_recognition_model_var2.h5
20:39:14.339,20:39:14.391,Stop,0.99983,20:39:14.392,0.05166,12.84,gesture_recognition_model_var2.h5
20:39:14.416,20:39:14.468,Stop,0.99983,20:39:14.469,0.05172,12.91,gesture_recognition_model_var2.h5
20:39:14.493,20:39:14.548,Stop,0.99983,20:39:14.548,0.05536,12.99,gesture_recognition_model_var2.h5
20:39:14.571,20:39:14.624,Stop,0.99983,20:39:14.624,0.05363,12.93,gesture_recognition_model_var2.h5
20:39:14.648,20:39:14.702,Stop,0.99983,20:39:14.702,0.05397,12.93,gesture_recognition_model_var2.h5
20:39:14.726,20:39:14.779,Stop,0.99983,20:39:14.780,0.05359,12.86,gesture_recognition_model_var2.h5
20:39:14.801,20:39:14.855,Stop,0.99983,20:39:14.855,0.05391,13.03,gesture_recognition_model_var2.h5
20:39:14.880,20:39:14.932,Stop,0.99982,20:39:14.932,0.05198,13.01,gesture_recognition_model_var2.h5
20:39:14.958,20:39:15.012,Stop,0.99982,20:39:15.012,0.05357,12.75,gesture_recognition_model_var2.h5
20:39:15.036,20:39:15.090,Stop,0.99982,20:39:15.090,0.05413,12.81,gesture_recognition_model_var2.h5
20:39:15.113,20:39:15.167,Stop,0.99982,20:39:15.167,0.05372,12.87,gesture_recognition_model_var2.h5
20:39:15.192,20:39:15.246,Stop,0.99981,20:39:15.246,0.05436,12.82,gesture_recognition_model_var2.h5
20:39:15.270,20:39:15.325,Stop,0.99981,20:39:15.325,0.05490,12.86,gesture_recognition_model_var2.h5
20:39:15.345,20:39:15.400,Stop,0.99981,20:39:15.400,0.05461,12.98,gesture_recognition_model_var2.h5
20:39:15.424,20:39:15.480,Stop,0.99981,20:39:15.480,0.05572,12.95,gesture_recognition_model_var2.h5
20:39:15.517,20:39:15.568,Stop,0.99981,20:39:15.569,0.05077,10.87,gesture_recognition_model_var2.h5
20:39:15.593,20:39:15.648,Stop,0.99981,20:39:15.648,0.05488,12.98,gesture_recognition_model_var2.h5
20:39:15.670,20:39:15.724,Stop,0.99982,20:39:15.724,0.05381,12.90,gesture_recognition_model_var2.h5
20:39:15.747,20:39:15.801,Stop,0.99982,20:39:15.801,0.05365,12.88,gesture_recognition_model_var2.h5
